	Valence	Arousal	Dominance
creencia	     5.379	     5.358	     4.988
crepe	     6.916	     5.432	     5.731
crepúsculo	     5.776	     4.939	     4.919
criado	     3.491	     4.113	     4.607
criatura	     5.786	     5.575	     4.976
crimen	     1.897	     6.538	     3.359
criminal	     2.167	     6.469	     3.488
cristal	     4.782	     4.439	     5.053
criterio	     5.061	     5.037	     4.959
crucero	     7.354	     6.272	     5.534
crucificar	     1.933	     6.588	     3.388
crucifijo	     3.889	     5.051	     4.413
crucifixión	     2.119	     6.117	     3.471
cruel	     1.857	     6.665	     3.553
crueldad	     1.548	     6.940	     3.030
cruz	     4.108	     4.523	     4.791
cuaderno	     5.807	     5.048	     5.046
cuadrado	     4.833	     4.393	     5.128
cuadro	     6.266	     5.432	     5.267
cuarto	     5.646	     4.861	     5.111
cubo	     5.071	     4.248	     5.192
cuchara	     4.886	     4.387	     5.210
cuchillo	     2.939	     6.613	     3.486
cuenco	     4.786	     4.375	     5.116
cuerda	     4.851	     4.489	     5.062
cuerpo	     5.800	     4.927	     5.180
cuervo	     4.231	     4.872	     4.312
cuestión	     4.686	     4.474	     5.039
cueva	     3.712	     5.884	     3.728
culebra	     2.453	     6.101	     3.534
culpa	     2.158	     5.733	     3.468
culpabilidad	     2.166	     5.597	     3.552
culpable	     2.088	     6.088	     3.831
cumpleaños	     7.549	     5.876	     5.436
cura	     5.295	     5.408	     4.949
curación	     6.996	     5.834	     5.380
curandera	     5.688	     5.505	     4.988
curandero	     5.618	     5.487	     4.953
curar	     7.041	     6.100	     5.432
curioso	     5.772	     5.239	     5.101
curso	     5.981	     5.525	     5.014
daga	     2.947	     6.524	     3.579
dama	     5.754	     4.728	     5.241
daño	     1.807	     6.523	     3.266
dardo	     4.984	     5.215	     4.937
débil	     2.407	     5.721	     3.482
decadencia	     2.299	     5.396	     3.626
decepcionar	     1.810	     6.577	     3.336
declive	     2.289	     5.946	     3.387
decorador	     5.484	     4.514	     5.307
decorar	     7.547	     5.538	     5.912
dedicado	     6.277	     4.909	     5.317
dedo	     4.921	     4.338	     5.119
defecto	     2.230	     5.586	     3.766
defendido	     5.945	     5.399	     5.266
deforme	     2.369	     5.559	     3.472
degeneración	     2.186	     5.902	     3.639
degradación	     2.176	     6.026	     3.706
delantal	     5.358	     4.414	     5.249
deleite	     7.267	     5.653	     5.634
delicado	     5.387	     5.265	     4.592
delincuente	     2.264	     6.576	     3.522
delirio	     3.031	     6.271	     3.481
demente	     2.652	     5.642	     3.555
demonio	     2.209	     6.442	     3.522
dentista	     3.422	     6.004	     3.734
dependienta	     5.144	     4.436	     5.088
deportes	     6.767	     5.371	     5.848
deportista	     6.764	     5.664	     5.495
depresión	     1.743	     5.115	     3.175
deprimido	     1.766	     5.138	     3.263
derecha	     4.704	     4.471	     5.001
desafío	     5.302	     5.879	     4.558
desagrado	     2.413	     5.503	     4.262
desagüe	     2.362	     5.077	     4.338
desahogo	     5.880	     5.497	     5.114
desanimado	     2.644	     4.892	     3.785
desánimo	     1.995	     5.147	     3.497
desaparecer	     2.145	     5.922	     3.262
desaparición	     1.654	     6.278	     2.838
desastre	     2.111	     6.042	     3.264
desatascador	     2.989	     4.872	     4.472
descanso	     7.654	     5.629	     5.874
descenso	     2.879	     6.297	     3.579
descomposición	     2.184	     5.284	     4.223
desconfianza	     2.133	     5.801	     3.572
desconsuelo	     2.053	     5.404	     3.572
descontento	     2.310	     5.601	     3.716
desdén	     3.368	     4.907	     4.524
desdeñoso	     3.441	     4.882	     4.504
desenfadado	     5.958	     5.108	     5.462
deseo	     7.761	     6.376	     5.751
desertor	     3.352	     5.229	     4.388
desesperado	     2.143	     5.795	     3.373
desgaste	     3.561	     4.337	     4.528
desigualdad	     1.838	     6.446	     3.644
desleal	     2.047	     6.397	     4.039
deslumbramiento	     4.954	     5.145	     4.913
desnudo	     5.638	     5.159	     5.337
desolación	     2.109	     5.441	     3.422
desordenado	     3.339	     4.804	     4.487
despedazar	     2.245	     5.969	     3.543
desperdicio	     2.553	     5.337	     4.257
despilfarro	     5.296	     5.651	     4.929
despreciar	     2.251	     5.936	     4.071
despreocupado	     5.566	     5.370	     5.141
destino	     5.817	     5.611	     4.798
destornillador	     4.692	     4.360	     5.107
destreza	     6.679	     5.316	     5.697
destrucción	     1.771	     6.311	     3.064
destruir	     1.835	     6.539	     3.306
desván	     4.887	     5.193	     4.328
desventaja	     2.479	     6.052	     3.652
desvestido	     5.633	     5.221	     5.297
desviación	     4.317	     4.946	     4.804
detalle	     6.671	     5.105	     5.706
detergente	     4.862	     4.310	     5.164
deterioro	     2.275	     5.660	     3.568
detestar	     2.676	     5.676	     4.312
deuda	     2.256	     6.030	     3.585
devoto	     4.238	     4.650	     4.776
diablo	     2.976	     6.402	     3.738
diadema	     5.486	     4.574	     5.301
diamante	     7.014	     5.161	     5.648
diario	     6.096	     5.122	     5.034
diccionario	     4.841	     4.310	     5.186
dicha	     7.053	     5.598	     5.678
dictador	     1.811	     6.667	     3.515
diente	     4.690	     4.655	     4.916
dieta	     4.414	     4.777	     4.821
diferencia	     4.853	     5.027	     4.770
dificultar	     2.491	     6.135	     3.636
difunto	     1.659	     5.606	     3.017
difusión	     4.457	     4.956	     4.766
dignidad	     6.231	     5.559	     5.227
digno	     6.957	     5.388	     5.585
dinámica	     6.339	     4.851	     5.373
dinero	     6.745	     5.873	     5.247
