Word	Valence	Arousal	Dominance
desestabilizar	3.289099931716919	5.4456000328063965	5.021399974822998
desestima	2.577500104904175	5.162899971008301	4.665500164031982
desestimación	3.463099956512451	5.361400127410889	4.813300132751465
desestimar	2.8477001190185547	5.01800012588501	4.588500022888184
desfachatez	2.4058001041412354	5.676700115203857	5.0619001388549805
desfase	6.092800140380859	5.457799911499023	5.199999809265137
desfiladero	4.316100120544434	4.452300071716309	4.142000198364258
desfilar	5.4928998947143555	4.868800163269043	4.642600059509277
desfile	6.192800045013428	3.91759991645813	3.9860000610351562
desgarro	2.322999954223633	5.5594000816345215	5.010700225830078
desgracia	1.6776000261306763	6.370299816131592	5.532599925994873
desgraciada	1.7976000308990479	5.3780999183654785	4.660200119018555
desgraciado	2.0945000648498535	5.358699798583984	4.799499988555908
desguace	3.6131999492645264	4.889100074768066	4.551300048828125
deshacer	3.8931000232696533	5.360000133514404	4.951000213623047
deshidratación	2.480600118637085	5.3282999992370605	4.860000133514404
deshielo	3.1449999809265137	5.8125	5.321499824523926
deshonra	2.113800048828125	5.868299961090088	5.323999881744385
desidia	2.5202999114990234	5.259500026702881	4.768599987030029
desierta	4.140999794006348	3.988300085067749	3.785799980163574
designación	4.001999855041504	4.822400093078613	4.5914998054504395
designar	4.60830020904541	4.892099857330322	4.57480001449585
designio	4.841700077056885	4.456399917602539	4.268899917602539
desigual	3.8857998847961426	5.1097002029418945	4.732399940490723
desilusión	1.9611999988555908	5.244800090789795	4.595399856567383
desinencia	3.9570999145507812	4.807000160217285	4.604000091552734
desinformación	2.6921000480651855	5.243500232696533	4.796899795532227
desintegración	2.870300054550171	5.393899917602539	4.970699787139893
desinterés	2.2994000911712646	5.398799896240234	4.895199775695801
desistir	2.61899995803833	5.756700038909912	5.2743000984191895
deslealtad	1.6374000310897827	6.2957000732421875	5.560800075531006
desliz	3.3919999599456787	5.078000068664551	4.659200191497803
deslizamiento	4.8850998878479	4.1219000816345215	4.075300216674805
deslizar	5.463699817657471	4.917200088500977	4.685100078582764
deslumbrante	6.46589994430542	5.697999954223633	5.33519983291626
desmantelamiento	3.8250999450683594	5.659900188446045	5.23330020904541
desmantelar	3.8629000186920166	5.587399959564209	5.179900169372559
desmentido	4.884200096130371	4.464099884033203	4.286300182342529
desmentir	5.493199825286865	5.463099956512451	5.030300140380859
desmontar	4.3491997718811035	4.641300201416016	4.422900199890137
desnivel	4.591800212860107	3.8496999740600586	3.8201000690460205
desnudez	5.895400047302246	4.77839994430542	4.640399932861328
desnutrición	1.6992000341415405	6.083700180053711	5.2895002365112305
desobediencia	2.9370999336242676	6.332399845123291	5.712699890136719
desocupación	2.6684999465942383	5.113800048828125	4.61359977722168
desolador	2.0339999198913574	5.248899936676025	4.630199909210205
desorientación	2.769200086593628	5.765900135040283	5.241399765014648
despacio	4.021399974822998	5.270599842071533	4.81850004196167
despacito	5.3628997802734375	5.025599956512451	4.65500020980835
despecho	2.1756999492645264	5.734899997711182	5.117800235748291
despectivo	1.7037999629974365	6.332099914550781	5.6890997886657715
despedida	2.905400037765503	4.791999816894531	4.380199909210205
despedir	2.370500087738037	5.574399948120117	4.980599880218506
despegar	6.059599876403809	5.077000141143799	4.922699928283691
despegue	5.882999897003174	5.078800201416016	4.896699905395508
despejar	5.737299919128418	5.037799835205078	4.789000034332275
despeje	5.647500038146973	4.565000057220459	4.463600158691406
despensa	5.650100231170654	4.059500217437744	4.129700183868408
desperdiciar	2.211199998855591	5.57889986038208	5.054100036621094
despertar	5.28000020980835	5.446800231933594	4.917300224304199
despido	1.6571999788284302	6.431000232696533	5.628799915313721
desplazamiento	4.780399799346924	4.403299808502197	4.229899883270264
desplazar	4.884699821472168	4.500800132751465	4.275599956512451
desplegar	5.32390022277832	4.259200096130371	4.244900226593018
despliegue	5.103499889373779	4.562399864196777	4.4328999519348145
desplomar	3.011399984359741	5.079999923706055	4.6219000816345215
desplome	2.7167999744415283	5.165900230407715	4.695400238037109
despoblación	2.8166000843048096	5.226399898529053	4.667099952697754
despojar	3.540800094604492	5.429699897766113	4.9633002281188965
despojo	2.5524001121520996	5.16480016708374	4.67710018157959
despotismo	2.430500030517578	5.784299850463867	5.1407999992370605
despreciable	1.8030999898910522	5.926000118255615	5.2804999351501465
desprender	3.81820011138916	5.26609992980957	4.7820000648498535
desprendimiento	3.1359000205993652	4.884900093078613	4.443299770355225
despreocupación	5.360499858856201	6.896900177001953	5.95419979095459
desprestigio	2.4762001037597656	5.935699939727783	5.392300128936768
desproporción	2.816699981689453	4.964300155639648	4.541100025177002
después	4.29610013961792	4.5157999992370605	4.277900218963623
despuntar	4.950099945068359	4.473299980163574	4.299600124359131
desquite	3.1310999393463135	4.765399932861328	4.4222002029418945
desregulación	3.7102999687194824	4.908599853515625	4.6234002113342285
destacable	6.336900234222412	5.19980001449585	5.021999835968018
destacamento	4.663899898529053	4.229800224304199	4.071199893951416
destello	5.43179988861084	4.520999908447266	4.452700138092041
destierro	2.3194000720977783	5.555099964141846	4.9756999015808105
destilación	4.694300174713135	3.759500026702881	3.754300117492676
destinar	5.524499893188477	4.075900077819824	4.170199871063232
destinatario	5.760499954223633	4.3531999588012695	4.3730998039245605
destitución	3.010499954223633	5.500199794769287	5.0345001220703125
destituir	2.594099998474121	5.476500034332275	4.912899971008301
destructiva	2.151599884033203	5.6417999267578125	5.044300079345703
destructor	2.411099910736084	6.282299995422363	5.733799934387207
desuso	3.13700008392334	4.80079984664917	4.474400043487549
desvanecer	3.686000108718872	5.23360013961792	4.862400054931641
desvelar	4.508699893951416	4.796199798583984	4.563600063323975
desventura	3.2881999015808105	5.312399864196777	4.831299781799316
desviar	4.409200191497803	5.113100051879883	4.8256001472473145
desvío	4.011199951171875	5.318299770355225	4.855800151824951
desvirtuar	3.1505000591278076	5.166299819946289	4.77810001373291
detallar	4.904300212860107	3.918800115585327	3.933500051498413
detección	4.718699932098389	5.10830020904541	4.730199813842773
detectar	5.047100067138672	5.38640022277832	4.9756999015808105
detective	5.562699794769287	5.30649995803833	4.970699787139893
detector	4.525599956512451	4.856100082397461	4.51039981842041
detención	3.2411000728607178	6.022600173950195	5.4695000648498535
detener	3.737799882888794	4.991099834442139	4.685299873352051
detenimiento	4.675600051879883	4.4542999267578125	4.170300006866455
determinación	6.1921000480651855	5.470699787139893	5.167500019073486
determinante	4.951399803161621	3.8977999687194824	3.9314000606536865
determinar	5.363999843597412	3.779900074005127	3.8794000148773193
determinismo	4.127399921417236	5.989099979400635	5.344299793243408
detestable	2.0497000217437744	5.7993998527526855	5.2230000495910645
detonación	2.2637999057769775	6.001299858093262	5.397900104522705
detonante	2.8434998989105225	7.3927998542785645	6.6280999183654785
detrás	4.710899829864502	4.066800117492676	3.977099895477295
deudor	2.4456000328063965	5.7866997718811035	5.273099899291992
devaluación	2.7441999912261963	5.046299934387207	4.622200012207031
devastación	2.025099992752075	6.1717000007629395	5.436200141906738
devastador	1.8178000450134277	5.914599895477295	5.122600078582764
devenir	4.213099956512451	4.9207000732421875	4.633999824523926
devoción	4.802000045776367	4.802700042724609	4.484099864959717
devolución	3.7876999378204346	4.767000198364258	4.551599979400635
devolver	4.6666998863220215	4.656400203704834	4.34060001373291
devorar	4.248799800872803	6.39169979095459	5.728499889373779
día	7.024199962615967	4.755000114440918	4.765100002288818
diabólica	2.303299903869629	7.010799884796143	6.118500232696533
diábolo	4.901599884033203	4.78410005569458	4.484499931335449
diácono	3.7174999713897705	4.733099937438965	4.515500068664551
diafragma	4.627299785614014	3.72379994392395	3.7095999717712402
diagnosticar	3.6147000789642334	5.422699928283691	5.018799781799316
diagnóstico	3.792099952697754	4.293900012969971	4.02400016784668
diagonal	4.802700042724609	3.6142001152038574	3.638000011444092
diagrama	4.695700168609619	3.7871999740600586	3.780900001525879
dial	5.032199859619141	4.035799980163574	4.020899772644043
dialéctica	5.647799968719482	3.72760009765625	3.802000045776367
dialecto	5.067399978637695	3.8856000900268555	3.9195001125335693
dialogar	6.298600196838379	4.55079984664917	4.6107001304626465
diálogo	6.353499889373779	4.571599960327148	4.56879997253418
diámetro	4.694499969482422	3.789599895477295	3.7797000408172607
diana	5.115099906921387	4.230100154876709	4.154399871826172
diarrea	1.8214999437332153	5.622300148010254	4.513899803161621
dibujante	6.780200004577637	4.229899883270264	4.399499893188477
dibujar	7.200699806213379	4.1631999015808105	4.269800186157227
dibujo	6.566400051116943	5.013500213623047	4.956099987030029
dicción	4.60860013961792	4.881199836730957	4.544600009918213
diciembre	6.781599998474121	3.995800018310547	4.048099994659424
dictado	3.6433000564575195	4.812300205230713	4.558800220489502
dictamen	3.1287999153137207	5.552700042724609	5.042500019073486
dictaminar	2.978100061416626	5.758800029754639	5.2017998695373535
dictar	2.833199977874756	5.081500053405762	4.601200103759766
dictatorial	2.1549999713897705	6.303699970245361	5.722599983215332
didáctico	6.473599910736084	5.399600028991699	5.140100002288818
dientes	4.591899871826172	3.9563000202178955	3.830199956893921
diéresis	4.011000156402588	4.755099773406982	4.512400150299072
diésel	4.465799808502197	4.7453999519348145	4.35099983215332
diestra	5.645699977874756	3.9203999042510986	4.042300224304199
diestro	6.214799880981445	3.8104000091552734	3.9914000034332275
dietista	5.046800136566162	4.705599784851074	4.511300086975098
diezmo	3.9732000827789307	5.367800235748291	4.806399822235107
difamación	2.224600076675415	5.502999782562256	4.947999954223633
diferenciación	4.245999813079834	5.482900142669678	4.9532999992370605
diferencial	4.4328999519348145	3.682300090789795	3.6459999084472656
diferenciar	5.104700088500977	3.7862000465393066	3.8178000450134277
diferente	6.84499979019165	5.362100124359131	5.243299961090088
diferir	3.8721001148223877	5.076900005340576	4.687900066375732
difícil	3.6758999824523926	6.5742998123168945	5.955399990081787
dificultoso	2.800299882888794	5.417699813842773	4.985400199890137
difundir	4.464799880981445	4.821100234985352	4.415299892425537
