	Joy	Anger	Sadness	Fear	Disgust
pensiero	     3.829	     1.277	     1.287	     1.410	     1.165
pensieroso	     1.858	     1.934	     1.835	     2.161	     1.692
pentito	     2.548	     1.443	     1.410	     1.569	     1.386
pentola	     2.120	     1.303	     1.316	     1.346	     1.381
perdente	     1.159	     2.857	     2.821	     2.462	     2.196
perfezione	     3.003	     1.350	     1.272	     1.410	     1.262
pericolo	     1.169	     3.312	     2.818	     3.281	     2.157
perso	     1.194	     2.720	     2.384	     3.090	     2.267
persona	     3.535	     1.321	     1.357	     1.400	     1.341
perspicacia	     3.820	     1.317	     1.380	     1.436	     1.247
pervertito	     1.196	     2.941	     2.331	     2.913	     2.651
pesce	     2.740	     1.253	     1.340	     1.382	     1.400
pessimismo	     1.172	     2.577	     2.425	     2.474	     2.261
peste	     1.127	     2.928	     2.991	     3.196	     2.278
pettegolezzo	     1.543	     2.454	     1.955	     2.629	     2.099
piacere	     4.274	     1.205	     1.290	     1.430	     1.129
pianta	     3.003	     1.253	     1.275	     1.321	     1.221
piatto	     2.820	     1.337	     1.443	     1.527	     1.242
piazza	     3.591	     1.237	     1.307	     1.359	     1.198
pidocchi	     1.170	     2.628	     2.305	     2.911	     2.199
piede	     2.145	     1.337	     1.377	     1.482	     1.386
pietà	     1.256	     2.167	     1.917	     1.872	     2.796
pigro	     1.542	     1.526	     1.661	     1.801	     1.507
pino	     3.027	     1.274	     1.415	     1.265	     1.257
pioggia	     1.567	     1.635	     1.715	     1.906	     1.751
pistola	     1.281	     2.713	     2.211	     2.862	     2.093
pitone	     1.286	     2.572	     2.217	     2.747	     1.826
pitturare	     3.559	     1.204	     1.269	     1.289	     1.221
pizza	     4.229	     1.207	     1.295	     1.372	     1.169
pizzicotto	     2.010	     1.839	     1.718	     2.133	     1.561
poesia	     3.831	     1.133	     1.240	     1.215	     1.126
poltrona	     3.669	     1.141	     1.296	     1.213	     1.136
porta	     2.444	     1.231	     1.285	     1.397	     1.261
posacenere	     1.477	     1.643	     1.659	     1.808	     1.775
possente	     2.513	     1.507	     1.395	     1.663	     1.443
possibilità	     4.101	     1.285	     1.316	     1.629	     1.173
posta	     2.166	     1.500	     1.469	     1.903	     1.377
poster	     2.853	     1.210	     1.284	     1.294	     1.243
potente	     2.741	     1.534	     1.306	     1.685	     1.325
potenza	     3.205	     1.412	     1.350	     1.530	     1.298
povertà	     1.124	     3.340	     3.111	     3.008	     2.487
prateria	     3.155	     1.176	     1.326	     1.202	     1.129
prato	     3.829	     1.139	     1.247	     1.254	     1.171
precipizio	     1.150	     3.105	     2.640	     3.240	     2.010
preoccupato	     1.289	     2.413	     2.093	     2.836	     1.953
pressione	     1.197	     2.606	     2.222	     3.070	     2.215
prestigio	     3.741	     1.291	     1.352	     1.540	     1.222
prete	     1.814	     1.550	     1.450	     1.827	     1.603
prigione	     1.070	     3.173	     3.097	     3.343	     2.684
primavera	     4.062	     1.286	     1.366	     1.338	     1.176
privacy	     3.468	     1.272	     1.282	     1.378	     1.345
problema	     1.269	     3.331	     2.556	     3.099	     2.251
profitto	     3.272	     1.288	     1.372	     1.427	     1.204
profumo	     3.967	     1.212	     1.240	     1.272	     1.136
progresso	     3.783	     1.316	     1.317	     1.411	     1.210
promozione	     4.354	     1.211	     1.385	     1.435	     1.129
prostituta	     1.114	     2.163	     2.444	     2.259	     3.250
protetto	     4.041	     1.203	     1.310	     1.227	     1.116
pugile	     2.640	     1.252	     1.276	     1.573	     1.280
pugnale	     1.194	     2.706	     2.175	     2.510	     2.275
pungente	     1.360	     2.526	     2.040	     2.661	     1.932
punizione	     1.181	     2.691	     2.644	     3.039	     2.044
puntura	     1.195	     2.863	     2.393	     2.683	     2.092
pus	     1.124	     3.502	     3.050	     3.225	     2.567
putrido	     1.118	     2.616	     2.552	     2.251	     2.708
puttana	     1.352	     2.085	     2.247	     2.707	     1.906
puzza	     1.182	     3.039	     2.687	     2.854	     2.183
quaderno	     2.113	     1.586	     1.612	     2.021	     1.480
quadro	     3.290	     1.267	     1.345	     1.342	     1.351
qualità	     3.607	     1.321	     1.420	     1.472	     1.323
quarto	     1.778	     1.454	     1.492	     1.656	     1.387
quercia	     3.539	     1.225	     1.227	     1.281	     1.142
rabbia	     1.196	     3.423	     2.552	     3.098	     2.340
radiatore	     1.998	     1.374	     1.350	     1.508	     1.441
radio	     3.841	     1.161	     1.219	     1.240	     1.127
radioso	     4.046	     1.299	     1.411	     1.353	     1.173
ragazza	     3.230	     1.330	     1.333	     1.418	     1.270
ragazzini	     2.709	     1.295	     1.359	     1.523	     1.243
ragazzo	     3.396	     1.373	     1.421	     1.554	     1.234
raggomitolarsi	     3.483	     1.329	     1.454	     1.410	     1.211
ragno	     1.418	     2.448	     2.011	     2.613	     2.199
rammaricato	     1.210	     2.678	     2.311	     2.602	     2.047
rana	     1.580	     1.758	     1.659	     1.824	     1.597
rancido	     1.119	     2.761	     2.503	     2.220	     2.855
rapido	     2.806	     1.462	     1.283	     1.711	     1.283
rapimento	     1.102	     2.899	     3.140	     3.732	     2.139
rapinatore	     1.115	     3.080	     2.332	     2.447	     2.975
rapporto sessuale	     3.361	     1.424	     1.533	     1.523	     1.266
rasoio	     1.640	     1.388	     1.350	     1.599	     1.331
ratto	     1.179	     2.705	     2.541	     2.868	     2.270
re	     2.625	     1.313	     1.349	     1.476	     1.315
regalo	     4.381	     1.208	     1.247	     1.448	     1.121
regina	     3.338	     1.332	     1.308	     1.471	     1.232
respinto	     1.142	     3.018	     2.791	     2.925	     2.287
rettile	     1.615	     2.142	     1.980	     2.196	     1.883
revolver	     1.771	     2.118	     1.860	     2.503	     1.831
ribelle	     2.502	     1.581	     1.426	     1.766	     1.471
ricatto	     1.175	     3.063	     2.755	     2.929	     2.286
ricchezze	     3.693	     1.362	     1.389	     1.526	     1.238
ricco	     3.820	     1.318	     1.424	     1.526	     1.206
ricompensa	     4.060	     1.315	     1.405	     1.521	     1.274
riconoscente	     4.127	     1.257	     1.355	     1.443	     1.226
ricordi	     3.364	     1.498	     1.534	     1.633	     1.360
ridicolo	     1.213	     2.905	     2.395	     2.935	     2.505
rifiuto	     1.193	     2.977	     2.699	     2.860	     2.362
righello	     2.148	     1.386	     1.459	     1.435	     1.351
rigido	     1.535	     2.033	     1.999	     2.181	     2.135
rilassato	     4.024	     1.130	     1.289	     1.188	     1.088
rinfresco	     3.929	     1.297	     1.334	     1.366	     1.162
riparato	     3.055	     1.297	     1.446	     1.581	     1.205
risata	     4.431	     1.184	     1.331	     1.405	     1.108
riservato	     2.869	     1.294	     1.338	     1.325	     1.249
rispetto	     4.255	     1.270	     1.400	     1.517	     1.177
rispettoso	     3.997	     1.211	     1.279	     1.300	     1.141
risposta	     2.836	     1.455	     1.378	     1.552	     1.326
ristorante	     3.223	     1.339	     1.373	     1.408	     1.321
risultato	     3.050	     1.394	     1.330	     1.589	     1.239
ritardato	     1.239	     2.631	     2.183	     1.968	     2.226
riunione	     2.091	     1.560	     1.499	     1.953	     1.441
riverente	     2.242	     1.501	     1.376	     1.598	     1.489
